0,0,5142130330460580077
-1,-1,5454023080592000367
-1,0,5690852189684347590
-1,1,2947910904681475678
0,1,1887010908921396594
1,1,4541332783962480067
-1,-2,-7434414384109340650
0,-2,6211641837480524246
1,-2,-5331195304201067060
-1,-3,-8033984429965271033
0,-3,-6391155640720946662
1,-3,-2286962853847851178
-1,-4,1527855466775041221
0,-4,-8841222614263281793
1,-4,-4135143112418246663
-2,-3,-6013669354570489570
-2,-2,8815632019598874456
-2,-4,6103272950345945234
-3,-4,-3243834588048787300
-3,-3,7154157342940826894
-3,-2,-8449554729641860102
-3,-5,-8805413686518181943
-2,-5,7619888376610032090
-1,-5,-7506712996983998150
0,-5,6709345697381703953
-2,-6,-6830708289351866562
-1,-6,3807744642627880726
0,-6,6815789465973682875
-1,-7,231624838011095616
-2,-7,-1923512976736685664
0,-7,851354471995624638
-3,-7,7388814675764521075
-3,-6,4897498395118607639
