0,0,7570729540176115137
1,1,851354471995624638
-1,0,-2870920304328497402
-1,1,-1923512976736685664
-1,-1,3344437391142417709
1,-1,823866865535518773
0,-1,-8702052078489406059
2,-1,-5738158262791844947
2,0,331943273191867871
2,1,6563038129309723464
1,2,6815789465973682875
0,2,3807744642627880726
-1,2,-6830708289351866562
-2,0,5165342511633087050
-2,1,7388814675764521075
-2,2,4897498395118607639
-2,-1,5238557926416208992
-3,-1,-5198526469110207934
-3,0,-899772690010334000
-3,1,-8420802570630939516
-2,-2,7983377989638175021
-1,-2,-5581233177938170894
-3,-2,-6669933163313394759
-3,-3,1567296616660166311
-1,-3,-2751518383316359500
-2,-3,-7041648448082593952
-4,-3,4607251087835905940
-4,-2,2196523214078799239
-4,-1,6190608379065318393
-2,-4,6277656835945903568
-3,-4,-193441105730323074
-4,-4,8881963901064252553
