0,0,-6006844501310888411
0,1,773534111905807977
-1,0,-2959913072054568801
0,0,-2371574378520501144
-1,-1,5607259390819938610
-1,0,5334956648769918808
-1,1,816357440195063454
0,1,-4038286603451980094
1,1,-7891316739009485474
0,2,2724850392646745480
-1,2,-719479527612514531
1,2,4117710849714816413
-2,1,-1255975086622679434
-2,0,8142114640152828640
-2,2,5484100172179326140
-3,0,-1429928555685067987
-3,1,8668867702322485524
-3,2,436685793512517858
-4,0,-2861755367945283665
-4,1,-6398145962677204987
-4,2,-1333746385064476698
-5,0,2596477420826172585
-5,1,7675756712742995914
-5,2,-6808488721085078399
-4,-1,8902853372306414558
-5,-1,5699612018512013992
-3,-1,6192415840384069123
-6,-1,1962209889188662395
-6,0,626002283961563377
-6,1,6854870671037790599
-7,-1,1100011471819032947
-7,0,-1359577609297180022
-7,1,5582903287823052212
-8,0,-5160721536489535729
-8,-1,-7944289201719620780
-8,1,7868251073459893694
-9,-1,5584159239820772025
-9,0,-2691233878488275185
-9,1,4264024030413093120
-8,-2,3194728279709252734
-7,-2,-1911924904953451490
-9,-2,9220077428592792037
-10,-2,4469556615725384617
-10,-1,6482109102126257727
-10,0,-7796563628147996801
-10,1,571442901343227546
-9,2,7040395184023141107
-10,2,171718383384281066
-8,2,-1457552591283186314
-11,0,5336350004853970168
-11,1,6647011250129695293
-11,2,-4252566626843739769
-10,3,7119319698123442035
-11,3,8897603145256300476
-9,3,-942876710707974898
-11,4,3851123638548525268
-9,4,489252207442574433
-10,4,-3483411640751585663
-8,3,3080334541919865847
-8,4,7808753710166664851
-7,2,3932146726037050423
-7,3,4337990714149531336
-11,-1,-7214478346077044298
