0,0,878614280644219913
1,1,-7131458088426096200
-1,1,-5331195304201067060
0,1,7934737324863589453
-1,-1,-4135143112418246663
0,-1,6161881814673190745
-1,0,-2286962853847851178
1,0,2981822759474330835
1,-1,-2962084947054799004
-2,0,-6391155640720946662
-2,-1,-8841222614263281793
-2,1,6211641837480524246
-3,-1,1527855466775041221
-3,0,-8033984429965271033
-3,1,-7434414384109340650
-3,2,5454023080592000367
-1,2,-6009846237487282686
-2,2,-8089122259660537421
-3,3,5690852189684347590
-2,3,5142130330460580077
-1,3,-7495358499332764496
-3,4,2947910904681475678
-2,4,1887010908921396594
-1,4,4541332783962480067
